sample_id,label,label_name
ORIC_00096,1,oriC_like
ORIC_00198,1,oriC_like
ORIC_00435,0,non_oriC_like
ORIC_00278,0,non_oriC_like
ORIC_01131,1,oriC_like
ORIC_00292,0,non_oriC_like
ORIC_01026,1,oriC_like
ORIC_01325,0,non_oriC_like
ORIC_00200,1,oriC_like
ORIC_01110,1,oriC_like
ORIC_00255,0,non_oriC_like
ORIC_00206,1,oriC_like
ORIC_00221,1,oriC_like
ORIC_00969,0,non_oriC_like
ORIC_01488,0,non_oriC_like
ORIC_00222,1,oriC_like
ORIC_00197,1,oriC_like
ORIC_00261,0,non_oriC_like
ORIC_00061,1,oriC_like
ORIC_00125,1,oriC_like
ORIC_00169,1,oriC_like
ORIC_00654,1,oriC_like
ORIC_01133,1,oriC_like
ORIC_00761,0,non_oriC_like
ORIC_00330,0,non_oriC_like
ORIC_00173,1,oriC_like
ORIC_00888,0,non_oriC_like
ORIC_01109,1,oriC_like
ORIC_00527,1,oriC_like
ORIC_00143,1,oriC_like
ORIC_00068,1,oriC_like
ORIC_00823,0,non_oriC_like
ORIC_00544,1,oriC_like
ORIC_00551,1,oriC_like
ORIC_01446,0,non_oriC_like
ORIC_00889,0,non_oriC_like
ORIC_01072,1,oriC_like
ORIC_00569,1,oriC_like
ORIC_00683,1,oriC_like
ORIC_00507,1,oriC_like
ORIC_00275,0,non_oriC_like
ORIC_00817,0,non_oriC_like
ORIC_00054,1,oriC_like
ORIC_00220,1,oriC_like
ORIC_00701,1,oriC_like
ORIC_00334,0,non_oriC_like
ORIC_00821,0,non_oriC_like
ORIC_01233,1,oriC_like
ORIC_01201,1,oriC_like
ORIC_01063,1,oriC_like
ORIC_00637,1,oriC_like
ORIC_00696,1,oriC_like
ORIC_01065,1,oriC_like
ORIC_00471,0,non_oriC_like
ORIC_00794,0,non_oriC_like
ORIC_00463,0,non_oriC_like
ORIC_00136,1,oriC_like
ORIC_00687,1,oriC_like
ORIC_01107,1,oriC_like
ORIC_00694,1,oriC_like
ORIC_01016,1,oriC_like
ORIC_00932,0,non_oriC_like
ORIC_01236,1,oriC_like
ORIC_00699,1,oriC_like
ORIC_00262,0,non_oriC_like
ORIC_00093,1,oriC_like
ORIC_00244,1,oriC_like
ORIC_00465,0,non_oriC_like
ORIC_00745,1,oriC_like
ORIC_00607,1,oriC_like
ORIC_01473,0,non_oriC_like
ORIC_01377,0,non_oriC_like
ORIC_00800,0,non_oriC_like
ORIC_01027,1,oriC_like
ORIC_00188,1,oriC_like
ORIC_01043,1,oriC_like
ORIC_00149,1,oriC_like
ORIC_01419,0,non_oriC_like
ORIC_01245,1,oriC_like
ORIC_00150,1,oriC_like
ORIC_00930,0,non_oriC_like
ORIC_00086,1,oriC_like
ORIC_01478,0,non_oriC_like
ORIC_00877,0,non_oriC_like
ORIC_01314,0,non_oriC_like
ORIC_00758,0,non_oriC_like
ORIC_00202,1,oriC_like
ORIC_00505,1,oriC_like
ORIC_00720,1,oriC_like
ORIC_00336,0,non_oriC_like
ORIC_00954,0,non_oriC_like
ORIC_00775,0,non_oriC_like
ORIC_00711,1,oriC_like
ORIC_00451,0,non_oriC_like
ORIC_00988,0,non_oriC_like
ORIC_00216,1,oriC_like
ORIC_01116,1,oriC_like
ORIC_00266,0,non_oriC_like
ORIC_00428,0,non_oriC_like
ORIC_01009,1,oriC_like
ORIC_00184,1,oriC_like
ORIC_01359,0,non_oriC_like
ORIC_00894,0,non_oriC_like
ORIC_00394,0,non_oriC_like
ORIC_01288,0,non_oriC_like
ORIC_00751,0,non_oriC_like
ORIC_00080,1,oriC_like
ORIC_00084,1,oriC_like
ORIC_00444,0,non_oriC_like
ORIC_01394,0,non_oriC_like
ORIC_00363,0,non_oriC_like
ORIC_01363,0,non_oriC_like
ORIC_00858,0,non_oriC_like
ORIC_01324,0,non_oriC_like
ORIC_01099,1,oriC_like
ORIC_00407,0,non_oriC_like
ORIC_01430,0,non_oriC_like
ORIC_00628,1,oriC_like
ORIC_01092,1,oriC_like
ORIC_00269,0,non_oriC_like
ORIC_00089,1,oriC_like
ORIC_01087,1,oriC_like
ORIC_01204,1,oriC_like
ORIC_00367,0,non_oriC_like
ORIC_00146,1,oriC_like
ORIC_01299,0,non_oriC_like
ORIC_00253,0,non_oriC_like
ORIC_00975,0,non_oriC_like
ORIC_01258,0,non_oriC_like
ORIC_00014,1,oriC_like
